,Midwest,Southeast,Northeast,Northwest,North Plain,South Plain,Southwest
1980,1178.7660122249072,1113.4135277434498,94.22467809418484,976.6355909131961,126.32310821167096,668.2539839770313,592.79192083556
1981,1131.6194645597227,1106.8987337906926,93.09803897353311,919.7130764377231,127.71461341058378,663.5308788351581,584.7228649925863
1982,1070.369953423379,1034.5708712048463,89.12068424189015,876.6566258956021,130.39620273215846,636.0792321670868,556.9665703350374
1983,1066.95623275074,1045.5656198348975,82.78307629415816,860.4923332190584,127.56123641129093,635.1908889672462,552.1056315226086
1984,1104.3974596137116,1082.22489192853,90.80461994138813,920.9515916379855,141.96856464553497,667.507710136661,588.3041510961885
1985,1090.4821326242163,1100.0482931102483,92.42956267046507,896.2931218768289,150.1794398071541,664.4524060897572,593.19545982133
1986,1085.3555116354476,1135.443188483679,92.92836425460447,911.7320855431021,143.13890020148983,654.683279655962,575.0381272257149
1987,1108.1170036872572,1159.646606018066,98.58814601507223,947.6612768119865,154.21852584711633,669.0332358362048,619.1963067842977
1988,1159.213296789589,1209.8888753979459,104.5868927527365,978.5713993179138,171.90301040207885,708.477206001379,648.0537583383568
1989,1160.2278359799839,1218.4739504677887,108.64296183870883,1002.4100673863218,169.69005816144582,729.7672256548221,678.6987105109292
1990,1157.2360592547975,1228.0534185550819,108.09315016742417,950.9126380105051,174.2470209253277,736.6989701128907,684.6627419739729
1991,1155.086469475074,1221.4389197550454,113.55038386232908,927.4233722371772,175.2643934238185,732.413164384034,669.4301628625219
1992,1153.1133854046616,1261.6502950616252,120.54041402179472,948.7049806245346,183.51440357467504,739.6793343115287,687.7360380011797
1993,1185.6720595527186,1315.7979747893196,118.62555717521711,939.1212956997991,182.19560932645163,762.5607366090296,681.7769318474644
1994,1203.386083032795,1321.4589725286157,124.69777447848833,955.4535092988503,188.132362569372,764.408066989848,706.0168241020309
1995,1234.67571638744,1367.6545546721363,121.0060556883652,954.19891070461,187.83881999062066,765.5177231045299,692.3147754522981
1996,1288.3801373119495,1415.9358745442041,126.62913512012909,973.4850905248732,188.36309052118048,818.6620609382126,700.664134039451
1997,1289.3926448965956,1437.8882587476621,125.22879127716743,992.3341582855935,189.90822961187385,838.1462312154031,709.9732969657043
1998,1289.9552352689818,1445.168654096291,131.87908776906986,980.898478436257,200.15244873311178,846.3183030016004,737.0281166946885
1999,1322.1493807963634,1467.3056105438243,134.11182096072542,989.7758021513125,199.9905718330697,831.3561900127572,748.2821527019473
2000,1346.554870390129,1533.4206236773587,135.24504984124735,1011.0581140071296,201.83585446402128,855.1450430443425,783.2950635757717
2001,1313.037472122689,1488.55612356162,134.99979416643083,977.9147738468953,205.12897131946292,848.502471269251,796.5476477136511
2002,1330.2375034478096,1504.363714711239,126.47742749726088,993.0285028244718,201.87563321584983,866.2629900515211,786.9961212518476
2003,1352.5993999183884,1510.1873922756397,128.29178543254864,1014.9728476728851,206.60512212883086,864.446691118251,782.7821664534563
2004,1364.8989574220973,1566.0365470848342,132.2094137203761,1024.5259945344692,207.0858640311834,859.1098919611113,824.9428452459279
2005,1385.2705404293124,1575.7621204625902,133.47587059496567,1031.4619737938424,209.94017374758897,834.1798894481929,829.0621805235075
2006,1346.0393624156275,1578.1004753739724,130.37146903167616,978.4124431520804,209.97057000943136,837.0841536166408,833.7697114005712
2007,1365.806052853407,1594.6827579992275,139.71456505181646,1000.6079355526001,216.25660658845402,843.1029390270257,842.9243639274688
2008,1347.354192464559,1528.048938446694,134.64547692810993,962.3783008433959,219.6853629170888,812.1809262133379,812.2764771868148
2009,1243.5988767654521,1398.6987599245863,130.00410725224492,865.0282503063473,211.64580776863195,765.7010330799926,777.3470439027449
2010,1283.3640174000298,1498.0120489092403,127.85907187369956,897.1857394007516,218.07001351944604,791.6360380235301,768.4483508733024
2011,1251.875593897982,1434.1511010854867,120.24003434901269,866.1957491511699,217.23829352080077,808.6573594161654,747.5274785793815
2012,1172.9036541879805,1360.0380303984587,118.48419543810567,823.0680239226176,219.63218709266323,789.4479553311935,745.3888896289812
2013,1234.240268509831,1351.2718889103705,128.62892834593478,841.8785706444637,226.59852168669477,819.4298006707418,753.9865782319637
2014,1251.1254508229633,1379.66561191202,125.33277937826989,861.8018727391617,224.55708722518727,827.1225898626694,743.6312300597281
2015,1172.6672962888326,1350.9593739200127,128.39693968158903,836.2569680088011,218.48253450677987,811.5283242896924,744.5505873042923
2016,1128.5551291865595,1349.1630373826617,133.6228783145146,810.3170166538797,209.57511247668398,807.9357294233239,731.3416665623764
2017,1131.9214603809237,1319.9909774443272,134.8566716621451,785.5691776197084,212.22161504124944,810.8981096465541,735.126204205092
2018,1175.3345369626427,1350.7160855520688,135.38812714511536,815.3271333048693,220.91535852922533,841.3828009426625,741.920906563416
